capacity, state, code, herb, height, tonnes
   12.5,open,1!45{2E}BZ,Thyme,45,3583
  477.1,close,2!56{9I}JB,Coriander,54,2676
  804.6,open,4!23{0H}GE,Basil,48,33
 1795.2,open,1!38{6J}OF,Rosemary,44,3075
  621.8,close,6!34{3E}NJ,Rosemary,47,2852
  243.0,open,4!6{8D}ZC,Basil,45,3023
  303.1,close,8!06{9P}VX,Bay,52,10005
  334.8,open,4!83{2H}GS,Bergamot,53,886
  414.8,close,5!27{6K}GR,Bergamot,48,5861
 3748.6,close,1!64{7P}FF,Dill,52,1243
 3833.4,open,1!02{2R}ZI,Coriander,47,1802
  261.6,close,4!25{0E}CH,Mint,49,1256
  650.3,open,8!51{9S}CK,Bay,45,2210
 3767.5,close,3!15{8X}NA,Fennel,44,3129
  643.7,open,9!52{1L}EN,Dill,47,4968
  664.0,open,3!68{4Q}BJ,Mint,23,3202
  439.3,open,7!76{7Q}RP,Coriander,44,2676
  273.9,close,4!06{1K}CK,Basil,49,4670
  308.4,open,4!70{3Y}CE,Bay,48,2539
 1665.4,close,7!69{7V}QH,Basil,47,2426
  216.9,close,0!86{1N}PH,Bay,44,10770
 2602.5,open,6!90{2I}JM,Dill,53,874
  653.8,open,1!7363A}KW,Bergamot,29,3455
  156.1,open,0!32{6I}IR,Basil,45,1600
  451.1,close,7!47e9J}QM,Fennel,46,8290
 1269.6,close,0!19{3V}QK,Fennel,45,341
  213.4,close,5!24{2V}UM,Rosemary,10,9041
  341.4,close,2!63{5I}XM,Dill,51,2043
  396.8,close,9!56{9U}BO,Bay,31,1646
    6.0,close,4!11{0Q}PZ,Fennel,53,3191
  406.9,open,7!81{4A}OJ,Thyme,47,845
  145.8,open,6!82{1T}QV,Dill,47,3223
 2713.0,open,7!46{4~}ED,Mint,45,28
  312.0,close,4!31{8A}BU,Oregano,46,1208
   58.8,open,9!46{1J}MG,Mint,54,9548
  634.8,open,8!52{9I}CX,Rosemary,47,2432
  165.7,close,9!76{7W}KF,Thyme,22,833
  453.3,open,8!28{3N}SR,Coriander,46,2324
   17.1,open,9!71{4B}RI,Thyme,45,4752
  259.6,open,6!19c{7V}MD,Marjoram,48,3568
  607.3,open,3!46{1V}AP,Coriander,53,615
  279.7,close,9!16{6J}DX,Thyme,54,3036
  373.6,close,4!88{2I}WS,Rosemary,43,1813
 1669.0,close,4!49{4D}GB,Rosemary,21,5927
  143.0,close,2!91{7I}PM,Borage,13,526
  367.7,open,7!29{7R}WN,Bergamot,45,2608
  345.7,close,7!74{8Y}ZH,Bay,47,1158
 2514.4,open,8!45{5V}YZ,Bay,45,2366
  456.9,close,8!15{3S}KF,Bergamot,32,1879
  125.5,close,3!87{0R}AH,Basil,18,7772
  140.9,close,1!46{6F}AI,Rosemary,48,1237
  222.6,close,1!63{9N}TQ,Coriander,50,5879
  560.0,open,3!32{J}JJ,Marjoram,48,9247
  440.0,open,2!59{8N}WW,Mint,44,9297
  411.2,close,2!22{4W}FE,Dill,54,8390
  286.6,close,1!33{7V}OY,Rosemary,51,3215
  490.6,open,9!92V4N}ON,Fennel,49,462
  199.3,open,5!71{5H}BV,Rosemary,39,967
  260.3,open,0!25{8P}QZ,Rosemary,31,1803
  572.7,close,6!00{4A}IG,Sage,46,6564
  383.5,open,6!21{4H}GO,Borage,51,1633
  195.2,open,6!95{4Q}PD,Mint,44,2683
  429.2,close,1!50{3A}VI,Bay,44,1603
  491.0,close,8!82{3J}XP,Coriander,50,323
  603.9,open,2!38{0Y}NL,Fennel,36,2523
  583.0,close,0!41{3F}KW,Oregano,47,4709
 3193.9,open,4!15{7X}TH,Fennel,54,2201
  158.3,open,5!74{7Y}DR,Rosemary,49,4043
  421.8,close,9!94{8F}KS,Dill,49,7525
  448.4,open,0!06{9K}NW,Rosemary,9,5996
  297.5,open,5!90{5P}SD,Rosemary,34,527
  194.3,open,6!34{8N}XK,Oregano,46,8326
  459.3,open,4!53P4F}YN,Rosemary,14,1142
  324.2,close,2!89{7D}PA,Basil,47,1442
  282.8,open,7!93{0M}MS,Thyme,45,1980
  535.2,open,3!34{5B}XD,Rosemary,47,424
  116.3,open,9!58{9H}VL,Basil,50,786
  574.4,close,9!70{4L}TD,Mint,48,6544
 2853.0,open,3!60{4M}OW,Bay,45,3452
 1320.2,close,6!X2{0K}DH,Rosemary,14,983
  561.1,open,6!78{0J}GI,Basil,15,4043
  175.9,close,2!97{9X}RB,Mint,49,3479
  170.4,close,7!10{7O}EW,Coriander,54,2690
  380.2,close,6!28{2X}PH,Bergamot,52,9563
  494.7,close,9!94{9U}PX,Sage,46,2196
   80.8,open,9!83{2K}SI,Sage,50,7285
  197.9,close,3!23{2D}OE,Rosemary,51,1806
  631.6,close,1!62{5N}EA,Oregano,48,3431
  153.7,open,8!24{8F}OV,Thyme,49,733
   74.2,close,8!70{6C}QR,Rosemary,54,9562
  674.6,close,7!79{5O}EW,Rosemary,47,425
 2080.9,close,5!98{2U}UX,Mint,51,9070
  294.6,close,4!98{2S}BS,Thyme,18,3336
  201.9,close,6!14{7D}AY,Thyme,49,2751
  525.0,close,3!66o1M}DR,Marjoram,45,2016
  538.4,open,1!20{4W}PX,Mint,51,3229
 1073.4,open,2!970Z}IL,Coriander,50,1672
  265.9,close,9!31{5O}ZX,Mint,51,10191
  349.3,open,5!59{4X}IF,Coriander,54,900
 2117.5,close,8!37{6E}AG,Dill,46,1773
  194.5,open,0!76{5J}PT,Fennel,53,2977
   45.4,close,6!63{5A}FS,Coriander,49,10306
  126.3,open,0!85{1UtLB,Mint,46,7711
  142.7,close,1!33{6P}BD,Fennel,44,7603
  187.9,close,1!67{5X}QW,Mint,45,3664
  600.5,open,P!37{2O}CT,Mint,36,8360
  312.5,close,9!98f2F}HC,Coriander,50,8613
 1201.3,close,5!89{7J}UX,Thyme,24,8083
  144.4,close,3!79{9G}HE,Bay,17,3094
  187.8,open,3!51{8L}GO,Sage,47,1329
  464.3,open,9!92{2L})J,Thyme,44,2951
  553.8,open,457{7L}XA,Coriander,37,1949
 1082.4,open,4!38{8O}BG,Bay,52,1660
  382.7,open,3!41{5Z}OZ,Thyme,34,3264
  162.3,open,495{5B}AK,Coriander,46,9980
  524.0,open,1!07{5E}EL,Coriander,52,4569
   69.6,close,1!54{8Z}IM,Borage,50,11166
  184.1,open,1!72{8I}MM,Marjoram,49,2679
  472.6,close,8!13{2AWJ,Dill,50,3294
  560.8,close,9!26{7Z}QM,Dill,50,1070
 2313.6,close,6!34{4D}ZR,Mint,53,2312
 3206.3,close,3!69{4N}NR,Mint,46,461
 3472.6,close,2!09{0L}WQ,Sage,49,1309
  619.2,open,3!76{0R}LN,Bergamot,53,5670
  485.2,open,6!02{9E}ZO,Bergamot,45,262
 2064.5,open,6!25{9U}VF,Coriander,44,8229
  428.0,open,3!09{7I}ZH,Bergamot,16,1399
   18.1,open,4!88{4Y}UE,Fennel,13,1519
  310.6,close,4!30{3A}OL,Fennel,21,2001
 1014.4,open,1!14{1J}YJ,Bergamot,52,1226
  615.9,open,2!21{4O}QB,Coriander,10,1696
 2767.8,close,6!1k{5S}LC,Thyme,52,127
  149.6,close,6!38{7W}GP,Dill,14,8711
 1880.6,close,7!85{5V}NE,Mint,12,938
  645.9,open,7!76{3H}PE,Thyme,11,6351
  203.1,open,}!65{3Z}MB,Thyme,50,2075
  149.3,close,6!11{2M}LQ,Thyme,49,7953
  115.0,close,6!21{0T}WV,Rosemary,47,1590
  112.2,close,9!57{X}MQ,Thyme,44,1099
  679.0,open,7!10{0N}DU,Rosemary,6,2784
  627.2,open,9!Y6{6Q}LQ,Thyme,52,1651
  185.0,close,8!98{3Y}GI,Rosemary,45,5414
   84.6,close,1!25{2K}LO,Thyme,53,8790
  195.1,close,6!23{8E}AY,Bergamot,10,1434
 1671.0,close,9!64{5K}LA,Basil,53,1631
  647.9,close,8!92{6B}HA,Basil,49,1190
  207.5,close,6!38{1H}QJ,Mint,49,3405
  355.4,close,4!53{1N}HX,Rosemary,46,3391
  306.4,close,6!x3{0C}YM,Thyme,52,5191
  582.2,close,4!27{5M}PZ,Bergamot,51,9195
  103.0,close,7!24{4C}DH,Mint,48,9113
  282.8,open,9!96{1K}EU,Thyme,52,1727
  135.2,close,5!2}{7M}ZG,Thyme,16,3532
  416.0,close,8!99{8M}QR,Thyme,48,9978
  642.3,open,7!29{8T}EK,Basil,33,1977
  628.0,close,1!63{2O}KY,Thyme,45,3534
  482.9,close,3!58{7J}UY,Mint,46,1023
 2000.3,close,7!40{3Q}NW,Thyme,52,1374
  372.8,close,7M35{5J}WZ,Marjoram,47,2830
  557.3,open,8!86{6C}RJ,Rosemary,14,3384
  180.7,close,2!89{1Y}JV,Mint,49,6382
 1988.5,close,6!57q{4H}EW,Marjoram,46,5605
   20.5,close,6!03{0I}CN,Oregano,48,827
  680.9,open,9!82{6Q}PO,Mint,54,866
   28.4,close,1!33{9K}ZS,Fennel,46,3179
  472.3,close,7!)3{6I}XM,Basil,45,2104
  223.5,close,3!#9{9L}OB,Coriander,48,10582
  913.4,close,4!63{2K}KA,Mint,12,3185
  295.3,close,3!35{9P}PF,Marjoram,51,2437
  215.1,close,1!29{5G}BF,Coriander,53,5154
  163.9,close,2!88{6M}MW,Thyme,47,2943
  371.6,open,0!T5{3R}CC,Mint,49,4170
 1275.3,close,3!04{4P}DA,Rosemary,39,2174
 1385.8,open,7!56{9V}YJ,Coriander,48,163
  583.1,close,3!20{5P}HL,Fennel,9,307
  393.4,open,3!49{5Q}XG,Dill,32,4485
   50.8,close,2!77{9X}SM,Marjoram,50,5301
  556.9,open,8!57{6S}BV,Borage,51,2894
  544.8,open,8!44{8T}CP,Oregano,49,1074
  169.9,open,7!10{2W}VC,Sage,52,2289
  100.6,close,4!44{1Z}US,Bergamot,31,2028
  216.4,open,9!78{5K}PL,Fennel,50,2575
 1807.1,open,3!34{6S}FC,Bergamot,44,9073
   12.4,close,5!05{5U}IV,Fennel,49,6541
  354.5,open,4!86{5E}SK,Thyme,46,2216
  384.3,close,1!83{6L}QK,Mint,18,1908
  332.7,close,8!28{1A}KB,Coriander,47,3080
  291.8,open,4!23{4H}AO,Dill,52,4079
 2595.2,close,8!77{9A}SN,Marjoram,52,942
 3712.8,close,6!28{4R}AQ,Mint,29,2477
  935.1,open,9!57{9W}SN,Coriander,44,5673
  513.3,close,9!34{7X}BV,Rosemary,51,1411
   93.7,close,5!24{8D}HX,Thyme,44,484
   46.3,open,3!54{0C}JQ,Marjoram,51,7353
  916.5,open,7!73{3J}FQ,Bay,44,2397
  649.2,close,4!29{7I}YC,Coriander,17,20
   72.5,close,3!21{7S}JU,Marjoram,45,3247
  225.9,open,1!02{6N}CR,Bergamot,16,4977
  542.9,open,7!08{8T}CW,Mint,52,1689
  457.4,close,P!51{2B}XR,Basil,46,2919
  468.0,close,9!57{3O}NQ,Coriander,52,6339
   33.6,close,4!40{1S}LH,Fennel,47,3013
  189.2,close,8!11{8R}SY,Rosemary,52,11041
  907.3,close,2!79{2M}VH,Marjoram,49,8400
   86.0,open,4!43{5M}UC,Fennel,44,897
   20.9,close,2!48{2F}KD,Thyme,47,417
 2701.8,close,1!49{2R}DPQ,Coriander,45,1457
  662.5,close,8!12{5Z}XJ,Rosemary,54,421
  200.3,close,2!99{8S}OQ,Dill,22,2379
  658.1,open,3!08{4L}SM,Dill,52,628
  647.6,open,6!53{0C}ZC,Marjoram,14,696
  629.8,close,8!43{2O}RQ,Marjoram,53,10766
  192.9,open,1!50{8E}OF,Dill,44,7487
  171.5,open,8!42{4B}KN,Rosemary,53,2033
  610.4,close,9!28{0A}ZZ,Rosemary,52,8125
  212.3,open,1!31{4V}HG,Mint,44,214
 1894.4,close,3!63{5F}ZX,Mint,46,3415
  531.0,close,2!59{7X}IY,Borage,53,1999
  550.8,open,2!12{4Q}VA,Borage,50,9101
 2919.0,close,9!61{3Q}GG,Coriander,46,3280
  189.6,open,5!12{7W}EX,Mint,48,910
  254.1,close,3!19{2O}LM,Basil,53,1294
  230.0,close,5!61{4D}QJ,Sage,45,1735
  340.5,open,7!81{8H}IB,Bergamot,50,11747
  446.3,open,6!67{2W}YO,Coriander,24,406
  413.7,open,9!50{91}YV,Coriander,51,259
  240.1,open,6!42{6S}CN,Coriander,53,3316
   65.8,close,8!37{2Y}SA,Bay,54,6754
 3272.7,open,7!13{2U}NK,Basil,52,11324
  188.7,open,2!02{6U}AO,Borage,50,6465
  369.9,close,9!3{7J}OM,Bay,16,811
  331.7,open,8!58{3M}UY,Mint,31,5835
  156.2,close,2!11{7S}AP,Fennel,47,8139
  203.1,open,6!50{0O}IY,Thyme,54,10698
 1684.4,open,9!44{8Y}WS,Mint,26,1642
   84.6,open,9!O5{9I}RV,Thyme,53,947
  207.2,open,8!44{6H}ZQ,Marjoram,47,205
  518.7,close,2!04{4I}RX,Bay,52,2819
 1809.7,open,4!11{6T}CH,Marjoram,8,8672
  565.9,open,8!61{8G}UR,Rosemary,53,551
  276.7,open,8!16{8B}LW,Rosemary,49,2662
  314.5,open,9!80{9X}VY,Coriander,47,5602
  534.1,open,2!c3{0A}GF,Thyme,47,1937
 3338.0,close,4!53{3T}NA,Oregano,47,5605
  494.6,open,0!65{0D}OG,Bergamot,51,11330
  324.0,close,7!99{4I}IH,Fennel,30,887
  111.1,close,8!52{3Y}PD,Dill,44,1044
  341.9,open,1!31{7Y}FJ,Oregano,44,815
  352.2,close,9!36{3B}ZN,Mint,46,1391
  665.1,open,6!02{7K}NC,Bergamot,35,3379
  285.0,open,3!98{2Q}GT,Mint,48,3566
  243.6,open,3!50{4B}KX,Coriander,49,9771
  540.2,close,8!35{1R}CL,Rosemary,51,2163
  292.4,close,4!78{0SFJU,Coriander,6,97
  661.8,close,0!48{7Z}QC,Thyme,50,2132
 2755.7,close,4!97{2A}DE,Dill,44,3524
  131.6,close,7!76{4C}DQ,Mint,46,3095
  216.6,open,7!35{8A}UK,Coriander,54,3172
  421.8,close,2!80{1M}RI,Sage,44,11304
  451.5,close,8!60{4SSE,Sage,54,10981
   60.1,close,5!50{2H}TH,Bay,48,639
  571.7,close,9!06{5Z}PK,Coriander,50,7526
  638.6,close,1!88{7Y}HP,Mint,19,153
  469.5,close,5!54{8Ws}MG,Bay,50,2092
  618.4,open,3!47{7T}YK,Mint,53,2508
   89.3,close,0!61{4G}XM,Coriander,45,1938
 2829.4,open,8!71{5C}SB,Coriander,6,10495
  620.0,open,3!87{7Y}UY,Basil,48,1081
  320.5,close,8!13{7Z}AP,Bay,48,1464
  508.8,close,4!91{0K}LY,Coriander,50,475
  431.8,open,4!18{1D}QD,Dill,50,6809
  611.0,open,6!83{6J}WV,Rosemary,52,3398
  381.3,close,7!38{9G}TX,Basil,50,541
  278.7,open,7!17{3D}YL,Rosemary,46,2432
  358.3,close,8!25{2C}EZ,Bay,54,11679
  149.1,open,3!47{5D}WJ,Mint,13,2743
   79.1,open,7!49{0M}WV,Basil,45,221
  282.4,close,8!65{78}FX,Bergamot,12,2280
  307.6,close,3!96{5U}AT,Dill,52,679
   34.7,open,9!03{6F}ZP,Rosemary,46,7176
   11.7,open,4!94{7L}RL,Thyme,49,3481
  474.7,close,5!50{4T}KY,Bay,44,2583
  241.0,close,4!79{4M}YU,Fennel,44,10555
  513.2,open,9!82{2G}SA,Coriander,46,2786
  646.7,open,9!33{3F}US,Bay,48,2007
  642.6,close,5!98{7C}CM,Mint,28,2908
 1990.4,close,6!04{5BUWZ,Fennel,12,870
  276.1,open,4!90{5D}DN,Sage,44,2990
 1167.1,close,2!21{6N}DI,Bergamot,48,1220
  389.1,close,2!87{2X}MB,Mint,37,6693
  420.3,open,5!69{0A}VI,Coriander,54,1031
  143.2,close,7!77{7F}HQ,Fennel,52,4107
  237.4,close,8!98{7B}XK,Basil,46,2671
 2921.0,close,2!05{9W}NG,Coriander,44,2079
  428.3,open,5!99{6M}ER,Sage,47,390
  616.8,close,8!26{5N}OH,Coriander,16,9387
  618.7,close,8!02k5Y}VS,Basil,49,6324
  483.2,open,3!0{8I}PZ,Mint,45,2308
 3507.7,open,7!24{3E}OK,Marjoram,49,535
  451.6,close,0!03{2H}HW,Oregano,13,767
 1954.7,open,1!88{2N}RH,Dill,45,725
  431.5,close,0t99{1N}JF,Thyme,52,1704
  546.9,open,7!18{6J}JF,Bay,44,3384
   46.4,open,1!96{1C}RQ,Dill,6,1254
  458.2,close,0!48{3B}DW,Coriander,46,6792
  252.8,open,7!42{6B}IF,Thyme,47,3241
   54.6,open,2!75{7W}OZ,Bergamot,50,457
  599.3,close,9!34{8R}BQ,Basil,51,2703
  162.3,close,6!32{6C}PRM,Oregano,49,850
  386.7,open,8!67{4O}kB,Rosemary,25,6869
  186.0,open,8!22{3O}IW,Bergamot,27,507
  557.7,close,9!11{4U}WT,Thyme,47,1581
  676.6,close,9!54{4R}GU,Coriander,21,4953
  598.2,close,0!28{4H}EC,Coriander,16,343
  167.2,open,6!67{2R}IW,Dill,44,454
  109.0,open,6!04{4U}QW,Sage,11,13
  868.9,open,5!79{0J}ZZ,Mint,7,2894
  230.4,close,7!78{5r}RU,Fennel,49,5401
  314.4,open,3!32{3N}GO,Bergamot,54,755
  243.5,close,8!39{4W}YS,Mint,46,6192
  249.6,close,9!23{5J}ID,Mint,37,10712
  553.2,open,3!58{6O}CP,Coriander,23,3273
 2801.2,close,3!20{8Z}AW,Basil,48,5421
  172.1,close,5!58{5F}IK,Rosemary,48,236
  418.1,close,2!82{0C}ZT,Dill,44,190
   58.7,close,5!70{2R}OG,Mint,54,1827
  606.8,close,8!22{0N}AA,Thyme,52,4650
  378.1,close,5!32{3Q}II,Bay,45,7175
   22.4,open,8!94{4C}DW,Thyme,53,1480
  403.5,close,8!09{4F}WE,Fennel,21,9386
  616.6,close,6!00{2D}BP,Borage,50,2050
 2024.3,open,3!40{9A}KO,Thyme,54,3086
  652.3,close,4!97{8I}NF,Basil,49,3548
  178.7,open,9!40{4R}SB,Sage,49,7265
  216.7,close,2!82{2P}FN,Sage,48,2492
  224.4,close,7!u5{7L}EB,Bergamot,45,3085
  157.6,close,5!84{9E}DM,Rosemary,28,1032
  188.1,open,9!85{2Z}UM,Fennel,33,6902
  606.6,close,0!40{0O}II,Rosemary,45,5710
  388.8,close,5!48{8L}XK,Basil,54,2133
  392.6,open,3!01{1W}NS,Rosemary,45,4831
  664.1,open,8!78{8G}IL,Basil,45,2545
 2933.2,close,4!96{6GH}DX,Dill,50,3538
   48.7,close,3!89{7N}KB,Dill,49,2171
  310.6,close,1!00{2NdOB,Bay,49,5086
   78.8,close,6!67{5B}DC,Basil,51,3008
  661.2,close,0!12{8D}CJ,Dill,8,10327
  631.6,close,2!82{8D}AM,Mint,51,10517
  452.4,close,7!11{9Q}EN,Bay,51,1216
  318.2,close,1!99{0L}CY,Bay,47,3219
  187.7,close,4!32{5X}WY,Dill,48,7231
  576.3,open,5!41{6C}XH,Rosemary,47,1102
  491.7,open,9!93{1O}KP,Rosemary,48,1591
   43.3,open,0!83{0H}SI,Thyme,45,9025
  366.8,open,1!32{6I}SZ,Marjoram,49,4640
  317.6,open,8!06{7N}XC,Bay,54,1477
  513.7,close,5!30{1M}NM,Mint,27,3574
  809.3,close,4!44{4I}IZ,Basil,44,879
  403.1,close,6!52{6O}RZ,Bay,47,3566
  656.1,open,9!62{7B}GS,Oregano,46,2392
  267.3,open,%!81{1G}LE,Thyme,48,2222
  577.0,close,1!63{9J}KH,Mint,51,2199
   41.8,close,3!24{0L}FW,Marjoram,49,8092
  951.4,close,3!16{1G}UT,Rosemary,52,736
  126.4,open,1!37{1I}PD,Mint,44,839
  195.2,open,5!81{5F}TK,Dill,47,814
 1751.0,close,7!26{1R}kJ,Rosemary,32,2030
  614.3,open,4!11{1P}JL,Basil,47,4682
  598.6,close,1!04{7X}WT,Bay,45,6096
  335.3,open,9!76{6Y}QO,Thyme,48,2608
  247.2,close,8!37{1W}UU,Fennel,8,6321
 1121.1,open,0!85{3I}OZ,Thyme,44,436
  391.2,close,1!48{3I}VC,Rosemary,48,1518
  577.3,close,6!53{6K}RT,Bay,49,922
  158.0,close,9!12{6R}OU,Basil,46,4568
   23.4,close,1!15{3P}YE,Bay,30,496
  498.8,open,4!44{0Z}FC,Coriander,50,3732
 1940.2,close,7!55{0C}WX,Bay,47,3924
  167.6,open,1!41{29L}OJ,Sage,53,3267
 1845.4,open,0!61{9X}ZH,Fennel,54,2851
  595.3,open,8!84{7Y}ZV,Bergamot,45,3125
 1935.9,open,0!48{4X}SJ,Bay,29,952
  539.2,close,1!94{1E}JQ,Bay,50,3036
 3715.4,open,0!533H}BN,Bergamot,47,555
  114.8,close,6!48{9L}SA,Bay,54,503
  165.1,close,7!8651C}CM,Coriander,22,2258
   80.3,close,9!!1{3Q}BI,Borage,45,1901
  119.5,open,3!97{4Q}KG,Dill,51,91
  149.3,open,8!11{3B}AZ,Coriander,47,779
  502.4,open,1!02{1J}JM,Rosemary,44,1162
  244.0,close,7!37{1D}AD,Coriander,7,3262
  545.0,close,7!69{0X}KP,Rosemary,46,2472
  551.4,open,2!75{8}JV,Bergamot,11,2773
 1490.2,open,4!670B}US,Dill,49,8967
 3265.5,close,7!52{5T}SE,Coriander,53,6025
  651.5,open,1!12{4S}KD,Basil,49,1951
   71.4,close,5!77{5Y}EN,Rosemary,10,6795
  417.8,close,4!26{6O}DD,Fennel,52,1296
  493.5,open,8!53{2S}6I,Rosemary,54,3275
 1752.8,close,2!70{9A}UW,Rosemary,17,2307
 2446.7,open,5!64{1U}VP,Fennel,52,758
  130.5,open,9!21{8M}WC,Mint,54,3924
  638.7,open,8!52{5L}YH,Bergamot,11,1779
  280.4,close,0!78{0J}CB,Basil,27,2449
 2966.2,open,359{7O}RS,Coriander,31,10358
  432.5,open,4!46{0S}DL,Bergamot,52,3061
  366.5,open,0!72{2H}WN,Fennel,51,2041
  353.3,close,4!50{6O}HL,Marjoram,25,60
 1664.4,open,8!34{5H}KE,Dill,50,1877
 1171.7,close,4!64{1B}GU,Rosemary,52,9132
  344.9,open,9!53{6P}RB,Mint,44,2026
 2431.3,close,3!01{5G}RS,Thyme,53,2471
  382.4,close,7!58{0F}UE,Rosemary,47,3501
   23.5,close,2!27M0X}FW,Dill,54,3152
 2140.2,open,6!52{6P}SI,Dill,44,11531
    4.6,open,6!70{0A}NJ,Mint,52,1648
  414.6,open,7!20{2Q}RZ,Bay,54,6663
  272.6,open,3!83{9K}VJ,Rosemary,52,4605
  464.1,close,2!68{6U}DC,Dill,46,2185
